Page,Section,Element,Current Copy,Source
Shipping Policy,Processing,Cutoff notice,Orders placed before 13:00 CET (Mon–Fri) are normally dispatched the same day.,Hardcoded
Shipping Policy,Sign-off,Text,Thank you for your order! — Flow Health Team,Hardcoded
Terms & Conditions,Hero,Label,Legal,Hardcoded
Terms & Conditions,Hero,Heading,Terms & conditions,Hardcoded
Terms & Conditions,Hero,Intro,Welcome to www.flowhealth.ch. These Terms and Conditions govern your use of our website and the purchase of our dietary supplement products.,Hardcoded
Terms & Conditions,Products Note,Text,Our products are food supplements (not medicines). They are not intended to diagnose treat cure or prevent any disease.,Hardcoded
Terms & Conditions,Guarantee,Text,You may return unopened and unused products within 30 days of delivery for a full refund (excluding shipping costs).,Hardcoded
Terms & Conditions,Sign-off,Text,Thank you for choosing Flow Health!,Hardcoded
Privacy Policy,Hero,Label,Legal,Hardcoded
Privacy Policy,Hero,Heading,Privacy policy,Hardcoded
Privacy Policy,Hero,Intro,We take your privacy very seriously. This Privacy Policy explains how Flow Health Massonnet collects uses shares and protects your personal data when you visit www.flowhealth.ch or purchase our dietary supplement products.,Hardcoded
Privacy Policy,Rights,Response time,We will respond within 30 days.,Hardcoded
Privacy Policy,Children,Notice,Our products and website are not intended for persons under 18. We do not knowingly collect data from children.,Hardcoded
Privacy Policy,Sign-off,Text,Thank you for trusting us with your data. — Flow Health Team,Hardcoded
Legal Notice,Hero,Label,Legal,Hardcoded
Legal Notice,Hero,Heading,Legal notice / Impressum,Hardcoded
Legal Notice,Company,Name,Flow Health Massonnet,Hardcoded
Legal Notice,Company,Address,Chemin de Belle Combe 37 1093 Lutry Switzerland,Hardcoded
Legal Notice,Company,Email,sales_support@flowhealth.ch,Hardcoded
Legal Notice,Company,Phone,+41 79 354 52 78,Hardcoded
Legal Notice,Company,Director,Adrien Massonnet,Hardcoded
